cliente_id,idade,genero,cidade,renda_mensal,tipo_cliente,data_cadastro
1,40,M,Curitiba,3820.4530082730685,Novo,2020-01-01 00:00:00.000000000
2,33,M,Rio de Janeiro,6256.751709613007,Regular,2020-01-01 07:00:51.130226045
3,42,M,Rio de Janeiro,4240.3229857936385,Novo,2020-01-01 14:01:42.260452090
4,53,M,Porto Alegre,4468.334147126473,VIP,2020-01-01 21:02:33.390678135
5,32,M,Porto Alegre,3453.032811471147,Regular,2020-01-02 04:03:24.520904180
6,32,F,Curitiba,1405.8852650000647,Regular,2020-01-02 11:04:15.651130226
7,53,F,Fortaleza,1768.1104884009003,Regular,2020-01-02 18:05:06.781356271
8,44,F,Salvador,3742.2334837529484,Regular,2020-01-03 01:05:57.911582316
9,29,M,Belo Horizonte,2964.6980674480837,Novo,2020-01-03 08:06:49.041808361
10,41,M,Sao Paulo,3714.210594686898,VIP,2020-01-03 15:07:40.172034406
11,29,M,Belo Horizonte,6892.655538075938,VIP,2020-01-03 22:08:31.302260452
12,29,F,Recife,4285.609235683305,Regular,2020-01-04 05:09:22.432486497
13,37,F,Brasilia,5593.962123766805,Regular,2020-01-04 12:10:13.562712542
14,12,F,Fortaleza,3125.4723249561375,Regular,2020-01-04 19:11:04.692938587
15,14,M,Brasilia,1990.999715672446,VIP,2020-01-05 02:11:55.823164632
16,28,F,Sao Paulo,2895.9454598189773,Regular,2020-01-05 09:12:46.953390678
17,22,M,Porto Alegre,1993.4540031476295,Regular,2020-01-05 16:13:38.083616723
18,38,F,Sao Paulo,6497.335692456615,Regular,2020-01-05 23:14:29.213842768
19,24,F,Salvador,4425.752229084196,Regular,2020-01-06 06:15:20.344068813
20,18,F,Belo Horizonte,3867.0849075174992,Regular,2020-01-06 13:16:11.474294859
21,52,F,Curitiba,5530.157643732055,Regular,2020-01-06 20:17:02.604520904
22,32,M,Manaus,1085.6908513881262,Novo,2020-01-07 03:17:53.734746949
23,35,F,Manaus,4000.0773430249415,Regular,2020-01-07 10:18:44.864972994
24,17,F,Curitiba,1547.9350684865499,Novo,2020-01-07 17:19:35.995199039
25,28,M,Porto Alegre,2970.16311382114,Novo,2020-01-08 00:20:27.125425085
26,36,M,Manaus,2550.758905221947,Regular,2020-01-08 07:21:18.255651130
27,21,M,Porto Alegre,4150.019475264177,Regular,2020-01-08 14:22:09.385877175
28,39,M,Rio de Janeiro,3341.2278710659116,Regular,2020-01-08 21:23:00.516103220
29,27,M,Salvador,5840.4234794976255,Regular,2020-01-09 04:23:51.646329265
30,31,F,Fortaleza,2206.254189346392,Regular,2020-01-09 11:24:42.776555311
31,27,M,Belo Horizonte,4249.50249393863,Novo,2020-01-09 18:25:33.906781356
32,57,M,Belo Horizonte,3232.8248754738615,Regular,2020-01-10 01:26:25.037007401
33,34,F,Fortaleza,1316.0036230569006,Regular,2020-01-10 08:27:16.167233446
34,22,F,Sao Paulo,1883.132270484569,Regular,2020-01-10 15:28:07.297459492
35,44,F,Sao Paulo,2765.7330137114777,Regular,2020-01-10 22:28:58.427685537
36,20,M,Brasilia,5198.608252236568,VIP,2020-01-11 05:29:49.557911582
37,37,F,Sao Paulo,3758.8244032223665,Regular,2020-01-11 12:30:40.688137627
38,11,F,Porto Alegre,1662.7856678583996,Novo,2020-01-11 19:31:31.818363672
39,19,M,Curitiba,2778.9873729027404,Regular,2020-01-12 02:32:22.948589718
40,37,M,Rio de Janeiro,8175.54961253357,VIP,2020-01-12 09:33:14.078815763
41,43,F,Fortaleza,3151.430221732085,Regular,2020-01-12 16:34:05.209041808
42,37,F,Porto Alegre,2530.917622146803,VIP,2020-01-12 23:34:56.339267853
43,33,F,Porto Alegre,3811.849640927949,Regular,2020-01-13 06:35:47.469493898
44,31,F,Brasilia,4366.410434996357,Regular,2020-01-13 13:36:38.599719944
45,17,F,Porto Alegre,2373.013217229652,Regular,2020-01-13 20:37:29.729945989
46,26,F,Salvador,3832.5566311237385,Regular,2020-01-14 03:38:20.860172034
47,29,M,Sao Paulo,2528.9393173594626,Novo,2020-01-14 10:39:11.990398079
48,47,M,Belo Horizonte,4271.258531767256,Novo,2020-01-14 17:40:03.120624125
49,39,M,Salvador,3244.921958193444,Novo,2020-01-15 00:40:54.250850170
50,13,F,Rio de Janeiro,3793.2707230407,Novo,2020-01-15 07:41:45.381076215
51,38,F,Rio de Janeiro,2039.3944956385265,Regular,2020-01-15 14:42:36.511302260
52,30,F,Rio de Janeiro,1977.0414873709692,Regular,2020-01-15 21:43:27.641528305
53,26,M,Sao Paulo,4782.643242875744,Novo,2020-01-16 04:44:18.771754351
54,42,F,Porto Alegre,2864.937486835871,VIP,2020-01-16 11:45:09.901980396
55,47,M,Rio de Janeiro,3437.5606004789765,Novo,2020-01-16 18:46:01.032206441
56,46,M,Fortaleza,2557.5429372841054,Regular,2020-01-17 01:46:52.162432486
57,24,F,Belo Horizonte,4672.0974706109355,Novo,2020-01-17 08:47:43.292658531
58,31,F,Porto Alegre,2199.741230625018,Novo,2020-01-17 15:48:34.422884577
59,38,F,Brasilia,2785.5465477337107,Novo,2020-01-17 22:49:25.553110622
60,46,M,Sao Paulo,4416.030110133358,Regular,2020-01-18 05:50:16.683336667
61,29,F,Curitiba,5358.738380473926,Regular,2020-01-18 12:51:07.813562712
62,32,M,Salvador,2294.156127605815,Novo,2020-01-18 19:51:58.943788757
63,21,M,Recife,7941.37720711558,Regular,2020-01-19 02:52:50.074014803
64,20,F,Salvador,3486.385645323008,Novo,2020-01-19 09:53:41.204240848
65,44,F,Rio de Janeiro,1769.64788207336,Regular,2020-01-19 16:54:32.334466893
66,51,F,Belo Horizonte,3585.0439927415505,Regular,2020-01-19 23:55:23.464692938
67,34,M,Brasilia,2461.4364782676166,Novo,2020-01-20 06:56:14.594918984
68,47,F,Porto Alegre,3703.502392973759,Regular,2020-01-20 13:57:05.725145029
69,39,M,Fortaleza,2917.761162975043,VIP,2020-01-20 20:57:56.855371074
70,27,F,Manaus,3093.7426331034285,Regular,2020-01-21 03:58:47.985597119
71,39,M,Salvador,1889.756590580081,Regular,2020-01-21 10:59:39.115823164
72,53,M,Manaus,4890.406047685917,Regular,2020-01-21 18:00:30.246049210
73,34,F,Porto Alegre,1672.268415630722,Regular,2020-01-22 01:01:21.376275255
74,53,F,Belo Horizonte,1712.3424267008097,VIP,2020-01-22 08:02:12.506501300
75,3,M,Manaus,3582.012866399061,VIP,2020-01-22 15:03:03.636727345
76,44,M,Salvador,6643.685433020914,Regular,2020-01-22 22:03:54.766953390
77,36,F,Curitiba,2499.1437481956814,Regular,2020-01-23 05:04:45.897179436
78,31,M,Recife,4232.237793508688,Regular,2020-01-23 12:05:37.027405481
79,36,M,Manaus,5098.339046094891,Regular,2020-01-23 19:06:28.157631526
80,11,M,Curitiba,4479.838244626506,VIP,2020-01-24 02:07:19.287857571
81,32,M,Curitiba,2551.395785878986,Regular,2020-01-24 09:08:10.418083617
82,39,F,Rio de Janeiro,1727.5796149869095,Regular,2020-01-24 16:09:01.548309662
83,52,F,Recife,1000.0,Novo,2020-01-24 23:09:52.678535707
84,28,F,Fortaleza,2613.85063007307,Regular,2020-01-25 06:10:43.808761752
85,25,F,Salvador,5372.473437160022,VIP,2020-01-25 13:11:34.938987797
86,28,M,Brasilia,1699.207096844966,Regular,2020-01-25 20:12:26.069213843
87,45,M,Porto Alegre,4230.624612883064,Novo,2020-01-26 03:13:17.199439888
88,38,M,Brasilia,1853.6718503686097,Novo,2020-01-26 10:14:08.329665933
89,28,M,Manaus,3143.3245358912673,Regular,2020-01-26 17:14:59.459891978
90,41,M,Recife,4246.692854324734,VIP,2020-01-27 00:15:50.590118023
91,36,F,Manaus,2143.622173427531,VIP,2020-01-27 07:16:41.720344069
92,46,F,Recife,3246.206427084663,VIP,2020-01-27 14:17:32.850570114
93,26,M,Salvador,2422.255310479436,Regular,2020-01-27 21:18:23.980796159
94,31,F,Porto Alegre,4241.084651181483,Regular,2020-01-28 04:19:15.111022204
95,30,F,Porto Alegre,3353.1604038998835,Regular,2020-01-28 11:20:06.241248250
96,17,F,Salvador,3066.3825925513192,Regular,2020-01-28 18:20:57.371474295
97,38,F,Fortaleza,6497.514382591764,Regular,2020-01-29 01:21:48.501700340
98,38,F,Curitiba,4151.201424404077,Regular,2020-01-29 08:22:39.631926385
99,35,F,Recife,2110.803726420887,Regular,2020-01-29 15:23:30.762152430
100,32,F,Sao Paulo,2855.6879309113433,Novo,2020-01-29 22:24:21.892378476
101,18,F,Sao Paulo,2869.9520676879306,Novo,2020-01-30 05:25:13.022604521
102,29,M,Curitiba,3103.1089850585586,Regular,2020-01-30 12:26:04.152830566
103,30,M,Manaus,10532.85436613689,VIP,2020-01-30 19:26:55.283056611
104,25,F,Recife,3588.271705045458,Regular,2020-01-31 02:27:46.413282656
105,33,M,Belo Horizonte,1077.1228257044006,Novo,2020-01-31 09:28:37.543508702
106,39,M,Porto Alegre,2272.419755101068,VIP,2020-01-31 16:29:28.673734747
107,57,F,Brasilia,1134.3487268167398,Regular,2020-01-31 23:30:19.803960792
108,37,M,Belo Horizonte,2527.79047846281,Regular,2020-02-01 06:31:10.934186837
