venda_id,cliente_id,produto_id,data_venda,quantidade,desconto,metodo_pagamento,avaliacao_compra,preco,valor_total,mes,dia_semana
1,4571,110,2022-01-01 00:00:00.000000000,3,0.0,PIX,3,145.72531709283768,480.89354640636435,1,5
2,4454,19,2022-01-01 01:10:05.080338689,2,0.0,Boleto,2,40.71717391865951,89.57778262105093,1,5
3,1767,82,2022-01-01 02:20:10.160677378,4,0.1,Cartao,3,23.88072899594696,94.56768682394997,1,5
4,1954,46,2022-01-01 03:30:15.241016067,4,0.1,PIX,5,302.730482076948,1198.8127090247144,1,5
5,2569,35,2022-01-01 04:40:20.321354756,4,0.05,PIX,4,50.105321836055715,209.4402452747129,1,5
6,3709,23,2022-01-01 05:50:25.401693446,3,0.0,Boleto,2,32.81726376690922,108.29697043080044,1,5
7,4929,109,2022-01-01 07:00:30.482032135,3,0.05,PIX,2,104.83135323158791,328.6462923810281,1,5
8,2672,44,2022-01-01 08:10:35.562370824,3,0.0,Boleto,5,101.36909731953254,334.5180211544574,1,5
9,3400,9,2022-01-01 09:20:40.642709513,5,0.0,Cartao,5,12.43664425173494,68.40154338454218,1,5
10,1354,160,2022-01-01 10:30:45.723048203,3,0.05,PIX,5,87.19724813831219,273.3633729136087,1,5
11,443,90,2022-01-01 11:40:50.803386892,2,0.05,Cartao,4,60.62585827401395,126.70804379268915,1,5
12,601,93,2022-01-01 12:50:55.883725581,2,0.1,Boleto,4,12.799442665188062,25.342896477072365,1,5
13,3167,187,2022-01-01 14:01:00.964064270,1,0.0,Cartao,4,59.807830373924524,65.78861341131699,1,5
14,3943,42,2022-01-01 15:11:06.044402960,4,0.0,PIX,5,269.2930184243128,1184.8892810669763,1,5
15,2810,190,2022-01-01 16:21:11.124741649,3,0.05,Boleto,3,22.516438351023066,70.58903423045732,1,5
16,3389,147,2022-01-01 17:31:16.205080338,8,0.05,PIX,4,47.7241819926608,398.97416145864435,1,5
17,4583,93,2022-01-01 18:41:21.285419027,3,0.1,PIX,4,12.799442665188062,38.01434471560855,1,5
18,2787,117,2022-01-01 19:51:26.365757717,2,0.0,Boleto,5,82.74515385414578,182.03933847912074,1,5
